Num_Acc;catv;situ;adr;jour;mois;an;dep;lat;long;hrmn;atm;grav;sexe;an_nais;trajet;age
201900000478;1;1;RUE MARX DORMOY;24;10;2019;75;48.8881149;2.3598786;08:30;1;1;1;1969;4;50
201900000478;1;1;RUE MARX DORMOY;24;10;2019;75;48.8881149;2.3598786;08:30;1;4;2;1989;1;30
201900000480;1;1;RUE OLIVIER DE SERRES;24;10;2019;75;48.8361386;2.297221;19:55;1;1;1;1996;5;23
201900000480;1;1;RUE OLIVIER DE SERRES;24;10;2019;75;48.8361386;2.297221;19:55;1;4;1;1967;5;52
201900000483;1;1;PLACE SAINT AUGUSTIN;24;10;2019;75;48.8756728;2.3195863;20:10;1;4;2;1999;2;20
201900000558;1;1;BOULEVARD SAINT MARCEL;29;11;2019;75;48.8384763;2.3570239;19:26;1;4;1;1987;5;32
201900000558;1;1;BOULEVARD SAINT MARCEL;29;11;2019;75;48.8384763;2.3570239;19:26;1;1;1;1978;1;41
201900000569;1;1;RUE SAINT DENIS;29;11;2019;75;48.8667094;2.3512489;13:45;2;4;1;1991;5;28
201900000569;1;1;RUE SAINT DENIS;29;11;2019;75;48.8667094;2.3512489;13:45;2;1;1;1997;0;22
201900000669;1;1;ALLEE DE LONGCHAMP;27;11;2019;75;48.863709;2.2401166;06:20;1;1;1;1973;1;46
201900000669;1;1;ALLEE DE LONGCHAMP;27;11;2019;75;48.863709;2.2401166;06:20;1;4;1;1996;1;23
201900000670;1;1;RUE DE L ARRIVEE;28;11;2019;75;48.844185;2.322892;18:30;1;1;1;1956;4;63
201900000670;1;1;RUE DE L ARRIVEE;28;11;2019;75;48.844185;2.322892;18:30;1;1;1;1972;0;47
201900000670;1;1;RUE DE L ARRIVEE;28;11;2019;75;48.844185;2.322892;18:30;1;4;2;1987;0;32
201900000807;1;6;RUE DE TOLBIAC;20;9;2019;75;48.8259651;2.3531906;19:25;1;4;1;2001;2;18
201900000810;1;5;ROUTE ROYALE DE BEAUTE;20;9;2019;75;48.834114;2.443568;15:35;1;4;1;1945;5;74
201900000812;1;6;RUE DE ROME;20;9;2019;75;48.8771953;2.3230354;15:45;1;4;2;1992;5;27
201900000815;1;6;BOULEVARD DU PALAIS;20;9;2019;75;48.8552101;2.3458059;17:20;1;4;2;1964;1;55
201900000815;1;6;BOULEVARD DU PALAIS;20;9;2019;75;48.8552101;2.3458059;17:20;1;1;1;1995;9;24
201900001857;1;1;BOULEVARD NEY;23;10;2019;75;48.8986751;2.367013;17:10;8;4;1;1972;5;47
201900001857;1;1;BOULEVARD NEY;23;10;2019;75;48.8986751;2.367013;17:10;8;1;1;1959;4;60
201900001858;1;1;RUE MARCADET;23;10;2019;75;48.89121;2.3396426;16:00;2;1;2;1963;5;56
201900001858;1;1;RUE MARCADET;23;10;2019;75;48.89121;2.3396426;16:00;2;4;2;1968;5;51
201900001859;1;5;QUAI DE JEMMAPES;23;10;2019;75;48.8732275;2.364203;14:30;8;4;1;1966;5;53
201900001859;1;5;QUAI DE JEMMAPES;23;10;2019;75;48.8732275;2.364203;14:30;8;4;1;1985;4;34
201900001860;1;1;RUE MARX DORMOY;23;10;2019;75;48.88683;2.35969;10:38;8;1;1;1996;4;23
201900001860;1;1;RUE MARX DORMOY;23;10;2019;75;48.88683;2.35969;10:38;8;3;1;1995;0;24
201900001862;1;1;BOULEVARD DE COURCELLES;23;10;2019;75;48.8786745;2.3008495;17:00;1;4;1;1931;5;88
201900001869;1;1;AVENUE DU TRONE;23;10;2019;75;48.8481109;2.3974879;11:50;1;1;1;1950;0;69
201900001869;1;1;AVENUE DU TRONE;23;10;2019;75;48.8481109;2.3974879;11:50;1;4;1;2005;0;14
201900001870;1;5;RUE DE LANCRY;23;10;2019;75;48.869863;2.36073;18:30;1;1;1;1969;0;50
201900001870;1;5;RUE DE LANCRY;23;10;2019;75;48.869863;2.36073;18:30;1;4;2;1992;0;27
201900002028;1;6;RUE DE BELLEVILLE;27;11;2019;75;48.8745444;2.3866577;20:32;1;4;1;1988;4;31
201900002028;1;6;RUE DE BELLEVILLE;27;11;2019;75;48.8745444;2.3866577;20:32;1;4;2;1969;9;50
201900002352;1;1;AVENUE GAMBETTA;19;9;2019;75;48.86416;2.39223;18:50;1;4;1;1971;1;48
201900002363;1;1;PLACE DE LA PORTE DE SAINT CLOUD;18;9;2019;75;48.8375241;2.2567195;09:20;1;1;1;1966;1;53
201900002363;1;1;PLACE DE LA PORTE DE SAINT CLOUD;18;9;2019;75;48.8375241;2.2567195;09:20;1;4;2;1977;1;42
201900002365;1;1;AVENUE DE LA PORTE DE VINCENNES;19;9;2019;75;48.8470311;2.4114947;20:00;1;4;2;2005;5;14
201900002365;1;1;AVENUE DE LA PORTE DE VINCENNES;19;9;2019;75;48.8470311;2.4114947;20:00;1;1;2;1957;1;62
201900002369;1;4;BOULEVARD DE LA VILLETTE;19;9;2019;75;48.87481;2.373626;18:41;1;4;1;1942;3;77
201900002371;1;6;BOULEVARD DU PALAIS;19;9;2019;75;48.854347;2.344929;10:30;1;1;1;1988;4;31
201900002371;1;6;BOULEVARD DU PALAIS;19;9;2019;75;48.854347;2.344929;10:30;1;4;2;2002;0;17
201900003114;1;1;AVENUE LEON GAUMONT;22;10;2019;75;48.85102;2.41581;18:15;1;1;1;1900;0;119
201900003114;1;1;AVENUE LEON GAUMONT;22;10;2019;75;48.85102;2.41581;18:15;1;4;2;1976;0;43
201900003114;1;1;AVENUE LEON GAUMONT;22;10;2019;75;48.85102;2.41581;18:15;1;1;1;1900;0;119
201900003114;1;1;AVENUE LEON GAUMONT;22;10;2019;75;48.85102;2.41581;18:15;1;4;2;1976;0;43
201900003121;1;5;PLACE AUGUSTE BARON;22;10;2019;75;48.9001468;2.3873126;20:55;1;1;1;1981;0;38
201900003121;1;5;PLACE AUGUSTE BARON;22;10;2019;75;48.9001468;2.3873126;20:55;1;4;2;2000;0;19
201900003121;1;5;PLACE AUGUSTE BARON;22;10;2019;75;48.9001468;2.3873126;20:55;1;1;2;1973;0;46
201900003148;1;4;PLACE EDOUARD RENARD;22;10;2019;75;48.835358;2.4065948;11:30;1;4;2;1983;5;36
201900003150;1;5;BOULEVARD VOLTAIRE;22;10;2019;75;48.8569071;2.381618;18:20;1;4;1;1969;0;50
201900003152;1;1;RUE DE CHARONNE;22;10;2019;75;48.8535785;2.3804157;16:15;1;1;2;1972;1;47
201900003152;1;1;RUE DE CHARONNE;22;10;2019;75;48.8535785;2.3804157;16:15;1;4;1;2014;0;5
