Identifiant du site de comptage;Nom du site de comptage;Lien vers photo du site de comptage;lat;long
100003096;97 avenue Denfert Rochereau SO-NE;https://www.eco-visio.net/Photos/100003096/15765766519670.jpg;48.83511;2.33338
100003097;105 rue La Fayette E-O;https://www.eco-visio.net/Photos/100003097/15765755175990.jpg;48.877667;2.350556
100003098;106 avenue Denfert Rochereau NE-SO;https://www.eco-visio.net/Photos/100003098/13305145395420.jpg;48.83521;2.33307
100003099;100 rue La Fayette O-E;https://www.eco-visio.net/Photos/100003099/13305145634060.jpg;48.87746;2.35008
100006300;135 avenue Daumesnil SE-NO;https://www.eco-visio.net/Photos/100006300/15765762690330.jpg;48.843435;2.383378
100007049;28 boulevard Diderot;https://www.eco-visio.net/Photos/100007049/13585075886520.jpg;48.846028;2.375429
100036718;39 quai François Mauriac;https://www.eco-visio.net/Photos/100036718/14997911465211.jpg;48.83436;2.377
100036719;18 quai de l'hotel de ville;https://www.eco-visio.net/Photos/100036719/14997911938171.jpg;48.85372;2.35702
100041488;27 boulevard Diderot E-O;https://www.eco-visio.net/Photos/100041488/15144538460760.jpg;48.846099;2.375456
100042374;Voie Georges Pompidou;https://www.eco-visio.net/Photos/100042374/15172173000772.jpg;48.8484;2.27586
100044493;67 boulevard Voltaire SE-NO;https://www.eco-visio.net/Photos/100044493/15302602919700.jpg;48.86149;2.37376
100044494;10 avenue de la Grande Armée SE-NO;https://www.eco-visio.net/Photos/100044494/15765753078770.jpg;48.874716;2.292439
100044495;7 avenue de la Grande Armée NO-SE;https://www.eco-visio.net/Photos/100044495/15302615766480.jpg;48.87451;2.29215
100044506;72 boulevard Voltaire NO-SE;https://www.eco-visio.net/Photos/100044506/15302610479460.jpg;48.86155;2.37407
100047533;89 boulevard de Magenta NO-SE;https://www.eco-visio.net/Photos/100047533/15434006878980.jpg;48.877686;2.354471
100047534;16 avenue de la Porte des Ternes E-O;https://www.eco-visio.net/Photos/100047534/15434139958780.jpg;48.88181;2.281546
100047535;Pont du Garigliano NO-SE;https://www.eco-visio.net/Photos/100047535/15765769830640.jpg;48.84015;2.26733
100047536;102 boulevard de Magenta SE-NO;https://www.eco-visio.net/Photos/100047536/15765760456770.jpg;48.877726;2.354926
100047537;26 boulevard de Ménilmontant SE-NO;https://www.eco-visio.net/Photos/100047537/15765764447200.jpg;48.86057;2.38886
100047538;Face au 16 avenue de la  Porte des Ternes O-E;https://www.eco-visio.net/Photos/100047538/15434135164990.jpg;48.881626;2.281203
100047539;21 boulevard Auguste Blanqui SO-NE;https://www.eco-visio.net/Photos/100047539/15765761696560.jpg;48.830449;2.353199
100047540;72 boulevard Richard Lenoir  S-N;https://www.eco-visio.net/Photos/100047540/15765768106120.jpg;48.86077;2.37305
100047541;Pont National SO-NE;https://www.eco-visio.net/Photos/100047541/15439382216460.jpg;48.82658;2.38409
100047542;Face au 48 quai de la marne;https://www.eco-visio.net/Photos/100047542/15765767542810.jpg;48.891215;2.38573
100047544;77 boulevard Richard Lenoir N-S;https://www.eco-visio.net/Photos/100047544/15765768365460.jpg;48.860852;2.372279
100047545;Face 104 rue d'Aubervilliers;https://www.eco-visio.net/Photos/100047545/15434213706810.jpg;48.890457;2.368852
100047546;Face au 70 quai de Bercy;https://www.eco-visio.net/Photos/100047546/15434937053860.jpg;48.829523;2.38699
100047547;6 rue Julia Bartet;https://www.eco-visio.net/Photos/100047547/15433319774680.jpg;48.82636;2.30303
100047548;Face au 25 quai de l'Oise;https://www.eco-visio.net/Photos/100047548/15765767104050.jpg;48.891415;2.384954
100047549;Pont National  NE-SO;https://www.eco-visio.net/Photos/100047549/15439386038070.jpg;48.82682;2.38465
100047550;35 boulevard de Menilmontant NO-SE;https://www.eco-visio.net/Photos/100047550/15440278883470.jpg;48.860528;2.388364
100047551;Pont du Garigliano SE-NO;https://www.eco-visio.net/Photos/100047551/15439437031740.jpg;48.83992;2.26694
100049407;152 boulevard du Montparnasse;https://www.eco-visio.net/Photos/100049407/15444529154820.jpg;48.840801;2.3332330000000003
100049408;10 boulevard Auguste Blanqui NE-SO;https://www.eco-visio.net/Photos/100049408/15765754139120.jpg;48.83068;2.35348
100050132;243 boulevard Saint Germain NO-SE;https://www.eco-visio.net/Photos/100050132/15765763964200.jpg;48.86179;2.3201400000000003
100050876;Totem 64 Rue de Rivoli;https://www.eco-visio.net/Photos/100050876/15886904766270.jpg;48.85735;2.35211
100056032;87 avenue de Flandre NE-SO;https://www.eco-visio.net/Photos/100056032/15729577873790.jpg;48.88926;2.37472
100056034;72 avenue de Flandre SO-NE;https://www.eco-visio.net/Photos/100056034/15736508755090.jpg;48.889046;2.3748720000000003
100056036;2 avenue de la Porte de Bagnolet O-E;https://www.eco-visio.net/Photos/100056036/15736530385080.jpg;48.86451;2.40932
100056038;44 avenue des Champs Elysées SE-NO;https://www.eco-visio.net/Photos/100056038/15724491524180.jpg;48.869873;2.307419
100056039;180 avenue d'Italie N-S;https://www.eco-visio.net/Photos/100056039/15759717341930.jpg;48.82024000000001;2.35902
100056040;129 rue Lecourbe SO-NE;https://www.eco-visio.net/Photos/100056040/15723665426320.jpg;48.842091;2.301
100056041;147 avenue d'Italie S-N;https://www.eco-visio.net/Photos/100056041/15759129300860.jpg;48.82026;2.3592
100056042;33 avenue des Champs Elysées NO-SE;https://www.eco-visio.net/Photos/100056042/15724494591310.jpg;48.869831;2.307076
100056044;132 rue Lecourbe NE-SO;https://www.eco-visio.net/Photos/100056044/15723669000120.jpg;48.84216;2.30115
100056045;Pont de la Concorde N-S;https://www.eco-visio.net/Photos/100056045/15731324831080.jpg;48.86392;2.31988
100056046;Pont des Invalides S-N;https://www.eco-visio.net/Photos/100056046/15730363556220.jpg;48.86282;2.31061
100056047;Pont de la Concorde S-N;https://www.eco-visio.net/Photos/100056047/15765769360530.jpg;48.86378;2.32003
100056223;Pont des Invalides N-S;https://www.eco-visio.net/Photos/100056223/15730513459820.jpg;48.86284000000001;2.310345
100056225;3 avenue de la Porte D'Orléans S-N;https://www.eco-visio.net/Photos/100056225/15731295056820.jpg;48.82108;2.32537
100056226;Face au 8 avenue de la porte de Charenton;https://www.eco-visio.net/Photos/100056226/15731174654220.jpg;48.830331;2.400551
100056326;72 rue de la Chapelle;https://www.eco-visio.net/Photos/100056326/15767459723600.jpg;48.89594;2.35953
100056327;Face au 4 avenue de la porte de Bagnolet;https://www.eco-visio.net/Photos/100056327/15729578421710.jpg;48.86461;2.4096900000000003
100056329;Pont Charles De Gaulle;https://www.eco-visio.net/Photos/100056329/15977656191320.jpg;48.84223;2.36811
100056330;36 quai de Grenelle;https://www.eco-visio.net/Photos/100056330/15977385285420.jpg;48.85209;2.28508
100056331;Face au 40 quai D'Issy;https://www.eco-visio.net/Photos/100056331/15730354775440.jpg;48.83421;2.26542
100056332;Pont de Bercy;https://www.eco-visio.net/Photos/100056332/15760595951850.jpg;48.83848;2.37587
100056334;38 rue Turbigo;https://www.eco-visio.net/Photos/100056334/15765765524970.jpg;48.86521;2.35358
100056335;Quai d'Orsay;https://www.eco-visio.net/Photos/100056335/15730299955270.jpg;48.86288;2.31179
100056336;27 quai de la Tournelle;https://www.eco-visio.net/Photos/100056336/15736425280750.jpg;48.85013;2.35423
100057329;Totem 85 quai d'Austerlitz;https://www.eco-visio.net/Photos/100057329/15809064759980.jpg;48.84201;2.36729
100057380;Totem Cours la Reine;https://www.eco-visio.net/Photos/100057380/15809102051320.jpg;48.86462;2.3144400000000003
100057445;Totem 73 boulevard de Sébastopol;https://www.eco-visio.net/Photos/100057445/15809119368880.jpg;48.86377;2.35096
100060174;21 boulevard Saint Michel S-N;https://www.eco-visio.net/Photos/100060174/16000972126560.jpg;48.851525;2.343298
100060175;30 rue Saint Jacques N-S;https://www.eco-visio.net/Photos/100060175/15907463970530.jpg;48.851131;2.345678
100060178;90 Rue De Sèvres;https://www.eco-visio.net/Photos/100060178/15953475589600.jpg;48.84638;2.31529
100063173;74 Boulevard Ornano S-N;https://www.eco-visio.net/Photos/100063173/15955761690160.jpg;48.896825;2.345648
100063174;69 Boulevard Ornano N-S;https://www.eco-visio.net/Photos/100063174/16033552153460.jpg;48.89696;2.34538
100063175;20 Avenue de Clichy;https://www.eco-visio.net/Photos/100063175/15955758283080.jpg;48.88529000000001;2.32666
